id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId
1,9485,125,LI,451,02,,Nendeln,full,,,manual,
2,9486,125,LI,455,04,,Schaanwald,full,,,manual,
3,9487,125,LI,457,03,,Bendern,full,,,manual,
4,9488,125,LI,449,08,,Schellenberg,full,,,manual,
5,9490,125,LI,452,11,,Vaduz,full,,,manual,
6,9491,125,LI,453,06,,Ruggell,full,,,manual,
7,9492,125,LI,451,02,,Eschen,full,,,manual,
8,9493,125,LI,455,04,,Mauren,full,,,manual,
9,9494,125,LI,450,07,,Schaan,full,,,manual,
10,9495,125,LI,459,09,,Triesen,full,,,manual,
11,9496,125,LI,458,01,,Balzers,full,,,manual,
12,9497,125,LI,456,10,,Triesenberg,full,,,manual,
13,9498,125,LI,454,05,,Planken,full,,,manual,
14,98000,145,MC,,,,Monaco,full,,,manual,
15,47890,192,SM,58,07,,"San Marino",full,,,manual,
16,47891,192,SM,65,09,,Serravalle,full,,,manual,
17,47892,192,SM,59,01,,Acquaviva,full,,,manual,
18,47893,192,SM,61,06,,"Borgo Maggiore",full,,,manual,
19,47894,192,SM,60,02,,Chiesanuova,full,,,manual,
20,47895,192,SM,64,03,,Domagnano,full,,,manual,
21,47896,192,SM,62,04,,Faetano,full,,,manual,
22,47897,192,SM,66,05,,Fiorentino,full,,,manual,
23,47898,192,SM,63,08,,Montegiardino,full,,,manual,
24,00120,238,VA,,,,"Citta del Vaticano",full,,,manual,
